id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
303,2,3,100,75.0,75.0,5,27436,0,0,-1,1,180.2,0,4,0.8,0.0,0,David,1.0,13,0,81.0,False,194.4,1314,Foot injury - 75% chance of playing,2020-01-18T17:00:22.896052Z,54,0,0,0,27436.jpg,2.1,0,0,McGoldrick,0.2,False,,d,15,49,437.0,40,43302,40,48351,742,0.2,7.4,McGoldrick,2
126,1,5,203,100.0,100.0,3,55494,0,0,-2,2,62.0,0,2,0.3,0.8,1,Joel,0.3,15,0,31.4,False,221.6,1132,,2019-11-23T18:00:20.336284Z,43,0,0,0,55494.jpg,2.7,0,0,Ward,1.0,False,,a,7,31,30.0,40,275091,462,269101,730,0.1,9.3,Ward,2
21,2,2,240,,,2,242166,0,0,-2,2,227.6,0,3,1.0,0.5,0,Matteo,0.5,27,0,67.7,False,310.8,1490,,,43,0,0,0,242166.jpg,2.0,0,0,Guendouzi,5.8,False,,a,1,3,138.0,40,855301,4845,867745,8247,0.1,9.3,Guendouzi,6
534,2,3,87,100.0,100.0,3,233425,-1,1,-2,2,62.9,1,4,1.0,1.0,1,Aaron,1.0,13,2,49.2,False,91.0,812,,2019-12-08T18:30:20.976333Z,43,0,0,0,233425.jpg,2.5,0,0,Connolly,1.2,False,,a,4,36,347.0,40,381540,1880,311916,3777,0.2,9.1,Connolly,0
305,1,0,220,100.0,100.0,3,40146,0,0,-2,2,299.3,0,2,2.2,3.2,6,Ryan,3.7,35,1,68.3,False,243.4,1572,,2019-10-25T21:00:19.447070Z,48,0,0,0,40146.jpg,2.1,1,0,Bertrand,0.7,False,,a,16,20,140.0,39,42418,3020,69351,1053,0.8,8.1,Bertrand,3
154,1,3,142,,,3,173807,0,0,-2,2,71.4,1,3,1.5,1.5,1,Tom,1.5,21,1,44.6,False,172.0,1193,,,53,0,0,0,173807.jpg,2.2,0,0,Davies,0.2,False,,a,8,11,201.0,39,14119,90,16268,281,0.3,7.4,Davies,6
167,4,5,141,,,1,173515,0,0,-3,3,124.5,1,4,2.8,3.3,7,Kelechi,2.8,6,3,60.3,False,177.8,376,,,57,0,0,0,173515.jpg,4.9,0,0,Iheanacho,0.4,False,,a,9,13,299.0,39,45779,5577,48470,1335,0.5,6.8,Iheanacho,1
506,2,5,200,75.0,75.0,3,225796,0,0,0,0,175.1,1,2,2.5,2.5,0,Reece,3.3,7,0,43.4,False,174.8,675,Knee injury - 75% chance of playing,2020-01-18T19:30:18.538805Z,50,0,0,0,225796.jpg,3.2,0,0,James,0.6,False,,d,6,8,83.0,39,84411,911,52589,2620,0.7,7.8,James,1
503,1,3,246,100.0,100.0,3,19419,0,0,-1,1,36.7,0,2,1.2,1.7,1,Gary,1.2,22,0,50.7,False,305.4,1350,,2019-12-16T20:00:22.203812Z,44,0,0,0,19419.jpg,2.5,0,0,Cahill,1.2,False,,a,7,31,162.0,38,109321,1590,176191,958,0.3,8.6,Cahill,1
18,1,0,234,100.0,100.0,4,84450,0,0,-4,4,203.6,0,3,2.2,1.7,2,Granit,1.7,23,0,56.7,False,282.8,1544,,2019-12-29T14:30:26.292159Z,51,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.6,False,,a,1,3,78.0,38,38229,562,103923,509,0.3,7.5,Xhaka,5
82,1,2,240,100.0,100.0,3,152551,0,0,-2,2,126.0,0,3,1.7,1.2,1,Jefferson,1.2,28,0,44.0,False,260.0,1723,,2019-12-28T15:30:23.983203Z,48,0,0,0,152551.jpg,1.8,0,0,Lerma,0.1,False,,a,3,91,53.0,38,11122,45,19357,132,0.3,7.9,Lerma,9
69,2,0,68,100.0,100.0,1,154566,0,0,-3,3,159.9,0,4,3.0,2.5,8,Dominic,2.5,24,0,64.4,False,99.0,1136,,2019-11-24T12:00:21.142150Z,52,0,0,0,154566.jpg,1.8,0,0,Solanke,0.3,False,,a,3,91,385.0,38,29323,1060,48058,355,0.5,7.3,Solanke,1
304,0,6,208,75.0,,3,93100,0,0,-4,4,65.3,2,2,-0.4,0.5,6,Jannik,1.0,21,1,47.0,False,257.0,1023,Head injury - 75% chance of playing,2020-01-23T20:00:20.107755Z,46,0,0,0,93100.jpg,3.2,0,0,Vestergaard,2.2,False,,d,16,20,147.0,38,518294,342,436834,2636,0.2,8.3,Vestergaard,1
