id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
171,2,4,110,75.0,100.0,1,172780,1,-1,2,-2,212.9,0,3,4.5,3.5,7,James,4.5,6,2,55.3,False,150.8,620,Illness - 75% chance of playing,2019-10-10T11:00:19.278165Z,72,0,0,0,172780.jpg,4.9,0,0,Maddison,12.2,False,,d,9,13,190.0,34,652417,130987,495682,11445,0.6,4.8,Maddison,1
30,3,0,104,100.0,100.0,2,193488,0,0,0,0,122.2,0,3,6.0,5.5,9,Anwar,6.0,9,2,53.4,False,174.4,484,,2019-08-04T16:30:15.264156Z,55,0,0,0,193488.jpg,4.9,0,0,El Ghazi,1.3,False,,a,2,7,236.0,34,85509,42354,32375,3905,1.1,6.2,El Ghazi,0
447,3,5,160,75.0,,2,39487,0,0,3,-3,116.4,1,2,3.0,4.0,1,Erik,4.0,9,0,29.3,False,173.2,684,Ankle injury - 75% chance of playing,2019-10-05T16:00:14.585530Z,48,0,0,0,39487.jpg,4.2,0,0,Pieters,12.3,False,,d,5,90,4.0,34,927714,6768,269690,41699,0.8,7.1,Pieters,0
392,0,5,117,,,3,56377,0,0,0,0,123.9,1,3,6.0,6.0,1,Andriy,6.0,4,3,41.5,False,145.0,453,,,60,0,0,0,56377.jpg,4.9,0,0,Yarmolenko,6.0,False,,a,19,21,145.0,34,432890,35066,49319,21556,1.0,5.7,Yarmolenko,1
90,0,4,111,100.0,100.0,4,44699,0,0,0,0,26.7,1,4,1.8,1.8,2,Ashley,1.8,7,4,43.9,False,149.0,644,,2019-09-12T15:00:18.746866Z,65,0,0,0,44699.jpg,4.2,0,0,Barnes,6.4,False,,a,5,90,271.0,34,988429,3757,750478,44845,0.3,5.2,Barnes,2
42,2,7,173,,,3,83299,0,0,1,-1,27.7,2,2,4.8,3.8,10,Lewis,4.8,10,0,25.3,False,176.8,720,,,46,0,0,0,83299.jpg,4.1,0,0,Dunk,11.1,False,,a,4,36,48.0,33,520096,64821,313596,5668,1.0,7.2,Dunk,4
471,0,2,145,,,3,172649,0,0,0,0,0.0,1,1,3.8,4.8,6,Dean,4.8,7,0,17.9,False,159.0,720,,,45,0,0,0,172649.jpg,4.1,0,23,Henderson,3.5,False,,a,15,49,18.0,33,176553,25692,57969,5101,1.1,7.3,Henderson,1
291,1,4,165,,,3,63426,0,0,0,0,112.9,1,2,3.5,4.5,6,Enda,4.5,7,0,30.2,False,138.8,720,,,50,0,0,0,63426.jpg,4.1,0,0,Stevens,0.7,False,,a,15,49,50.0,33,38097,6526,20466,1786,0.9,6.6,Stevens,0
183,0,3,154,,,2,97032,0,0,0,0,26.2,0,2,4.0,4.5,2,Virgil,3.5,6,1,30.8,False,201.6,720,,,65,0,0,0,97032.jpg,4.1,0,0,van Dijk,46.6,False,,a,10,14,80.0,33,540146,14638,900162,49031,0.5,5.1,van Dijk,0
181,2,3,178,100.0,100.0,2,122798,0,0,-1,1,182.1,0,2,5.7,6.2,2,Andrew,5.2,6,0,49.8,False,185.6,720,,2019-09-16T20:00:14.442895Z,69,0,0,0,122798.jpg,4.1,0,0,Robertson,19.5,False,,a,10,14,130.0,33,240720,19379,973617,25454,0.8,4.8,Robertson,0
287,2,2,120,75.0,75.0,0,193111,-1,1,4,-4,165.6,0,3,3.0,2.6,2,Todd,3.0,19,2,59.5,False,179.4,685,Hamstring injury - 75% chance of playing,2019-10-10T15:30:11.414694Z,49,0,0,0,193111.jpg,4.1,0,0,Cantwell,24.7,False,,d,14,45,250.0,33,2080855,14703,532994,89388,0.6,6.7,Cantwell,1
313,1,5,122,,,1,84939,0,0,-1,1,92.6,0,4,4.5,4.0,7,Danny,4.5,9,3,49.3,False,153.2,441,,,59,0,0,0,84939.jpg,4.1,0,0,Ings,1.7,False,,a,16,20,248.0,33,122075,6952,163077,3076,0.8,5.6,Ings,0
150,1,3,115,,,2,212319,0,0,-1,1,108.2,1,3,2.5,2.5,2,Richarlison,2.5,12,2,54.7,False,177.6,669,,,79,0,0,0,212319.jpg,4.1,0,0,de Andrade,6.8,False,,a,8,11,261.0,33,407223,7203,565029,24660,0.3,4.2,Richarlison,1
417,1,6,111,,,2,159533,0,0,0,0,118.4,1,3,7.0,6.0,16,Adama,7.0,8,2,36.4,False,167.2,470,,,50,0,0,0,159533.jpg,4.6,0,0,Traoré,1.4,False,,a,20,39,79.0,32,87350,67622,22052,3646,1.4,6.4,Traoré,0
405,1,7,159,100.0,100.0,3,90585,0,0,0,0,55.5,0,2,4.0,3.0,7,Willy,4.0,6,0,27.4,False,203.0,630,,2019-09-01T15:30:11.516800Z,50,0,0,0,90585.jpg,4.6,1,0,Boly,5.5,False,,a,20,39,14.0,32,244672,33391,321213,4447,0.8,6.4,Boly,0
388,0,4,135,0.0,0.0,3,37096,0,0,1,-1,0.0,2,1,0.0,0.0,0,Lukasz,4.8,8,0,14.5,False,145.8,573,Hip injury - Expected back 01 Jan,2019-09-28T16:00:17.571284Z,51,0,0,0,37096.jpg,4.6,0,20,Fabianski,4.0,False,,i,19,21,0.0,32,231059,470,302302,45327,0.9,6.3,Fabianski,0
468,0,9,105,,,5,80146,0,0,1,-1,73.9,0,4,2.0,3.0,9,Jordan,3.0,5,3,44.5,False,129.6,539,,,51,0,0,0,80146.jpg,4.6,0,0,Ayew,7.8,False,,a,7,31,241.0,32,681332,22403,398634,18928,0.6,6.3,Ayew,3
