id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
254,0,0,11,,,0,57145,0,0,-1,1,0.0,0,2,-0.5,-1.0,0,Federico,0.0,0,0,1.0,False,10.6,23,,,44,0,0,0,57145.jpg,1.0,0,0,Fernández,0.1,False,,a,13,4,0.0,3,1861,34,5893,122,0.0,0.7,Fernández,0
45,0,0,5,0.0,0.0,1,106757,0,0,-3,3,1.3,0,4,0.0,0.0,0,Jürgen,0.0,1,0,3.3,False,3.2,85,Joined TSG Hoffenheim on loan until the end of the season on 29/8. - Expected back 01 Jul,2019-08-29T13:00:09.129312Z,52,0,0,0,106757.jpg,1.5,0,0,Locadia,0.1,False,,n,4,36,30.0,3,6353,11,22166,75,0.0,0.6,Locadia,0
379,0,0,11,,,0,20658,0,0,-2,2,1.0,0,2,1.0,0.5,0,Pablo,0.5,1,0,0.9,False,7.2,37,,,43,0,0,0,20658.jpg,1.0,0,0,Zabaleta,0.5,False,,a,19,21,0.0,3,8412,224,27929,479,0.1,0.7,Zabaleta,0
314,0,0,3,100.0,100.0,0,220598,0,0,-1,1,1.7,0,4,0.2,0.2,0,Michael,0.7,3,0,0.6,False,1.0,48,,2019-08-27T21:30:10.755595Z,49,0,0,0,220598.jpg,1.0,0,0,Obafemi,0.2,False,,a,16,20,4.0,3,6222,77,13698,214,0.1,0.6,Obafemi,0
357,0,0,64,,,0,54484,0,0,-2,2,124.1,0,2,-0.5,-1.0,0,Francisco,0.0,19,0,23.3,False,83.0,559,,,43,0,0,0,54484.jpg,0.4,0,0,Femenía Far,0.4,False,,a,18,57,25.0,3,12624,49,40632,574,0.0,0.7,Kiko Femenía,3
60,0,0,18,0.0,0.0,0,41320,0,0,-2,2,29.6,0,2,0.0,0.0,0,Charlie,0.0,2,0,5.2,False,22.4,126,Knee injury - Unknown return date,2019-08-25T15:30:14.994228Z,43,0,0,0,41320.jpg,1.5,0,0,Daniels,0.1,False,,i,3,91,0.0,3,3014,7,14721,105,0.0,0.7,Daniels,0
125,0,0,30,0.0,0.0,0,40784,0,0,0,0,10.8,0,2,0.0,0.0,0,Mamadou,0.5,5,0,4.5,False,29.4,191,Muscle injury - Unknown return date,2019-09-27T13:30:11.718603Z,50,0,0,0,40784.jpg,1.0,0,0,Sakho,0.1,False,,i,7,31,4.0,3,2691,8,5472,170,0.1,0.6,Sakho,0
189,0,0,22,100.0,75.0,0,116535,0,0,-2,2,0.0,0,1,1.0,0.8,2,Alisson,0.5,1,0,1.5,False,14.6,128,,2019-08-09T21:00:16.736264Z,58,0,0,0,116535.jpg,1.5,0,3,Ramses Becker,6.3,False,,a,10,14,0.0,3,88386,26431,1484107,2158,0.1,0.5,Alisson,0
184,0,0,13,,,0,171287,0,0,-3,3,11.8,0,2,0.7,0.7,0,Joseph,0.2,1,0,2.7,False,15.0,91,,,52,0,0,0,171287.jpg,1.5,0,0,Gomez,0.8,False,,a,10,14,0.0,3,29447,181,103628,1085,0.0,0.6,Gomez,0
329,0,0,19,100.0,100.0,0,115556,0,0,-1,1,5.3,0,2,-0.2,1.3,0,Ben,0.3,3,0,2.9,False,17.6,106,,2019-07-31T00:00:11.457160Z,54,0,0,0,115556.jpg,1.0,0,0,Davies,0.2,False,,a,17,6,8.0,3,4896,52,9442,193,0.1,0.6,Davies,0
